"","x"
"850",18
"851",49
"852",35
"853",10
"854",11
"855",50
"856",26
"857",5
"858",10
"859",21
"860",21
"861",20
"862",17
"863",43
"864",15
"865",15
"866",21
"867",14
"868",31
"869",18
"870",128
"871",37
"872",27
"873",25
"874",15
"875",139
"876",19
"877",33
"878",53
"879",15
"880",116
"881",38
"882",15
"883",92
"884",32
"885",17
"886",21
"887",14
"888",22
"889",8
"890",178
"891",52
"892",41
"893",24
"894",11
"895",85
"896",4
"897",64
"898",15
"899",0
"900",20
"901",17
"902",16
"903",263
"904",16
"905",34
"906",5
"907",4
"908",25
"909",12
"910",1
"911",62
"912",35
"913",20
"914",9
"915",69
"916",3
"917",102
"918",19
"919",8
"920",18
"921",181
"922",26
"923",39
"924",34
"925",18
"926",31
"927",64
"928",20
"929",62
"930",18
"931",20
"932",7
"933",20
"934",18
"935",10
"936",34
"937",52
"938",97
"939",19
"940",25
"941",0
"942",3
"943",11
"944",54
"945",5
"946",11
"947",18
"948",28
"949",11
"950",16
"951",31
"952",5
"953",15
"954",21
"955",1
"956",36
"957",52
"958",18
"959",25
"960",108
"961",43
"962",6
"963",3
"964",8
"965",30
"966",7
"967",17
"968",8
"969",30
"970",20
"971",16
"972",20
"973",15
"974",32
"975",19
"976",15
"977",26
"978",27
"979",22
"980",77
"981",271
"982",26
"983",72
"984",23
"985",5
"986",9
"987",26
"988",193
"989",20
"990",177
"991",37
"992",35
"993",22
"994",6
"995",19
"996",46
"997",184
"998",23
"999",7
"1000",61
"1001",22
"1002",25
"1003",69
"1004",32
"1005",120
"1006",24
"1007",47
"1008",24
"1009",18
"1010",14
"1011",26
"1012",41
"1013",22
"1014",57
"1015",20
"1016",32
"1017",28
"1018",16
"1019",26
"1020",76
"1021",106
"1022",13
"1023",129
"1024",17
"1025",41
"1026",21
"1027",22
"1028",30
"1029",9
"1030",7
"1031",29
"1032",18
"1033",16
"1034",18
"1035",18
"1036",4
"1037",48
"1038",7
"1039",27
"1040",33
"1041",70
"1042",43
"1043",11
"1044",39
"1045",43
"1046",22
"1047",75
"1048",34
"1049",17
"1050",19
"1051",15
"1052",30
"1053",16
"1054",5
"1055",22
"1056",21
"1057",24
"1058",13
"1059",31
"1060",29
"1061",23
"1062",60
"1063",13
"1064",17
"1065",17
"1066",31
"1067",24
"1068",28
"1069",27
"1070",23
"1071",18
"1072",21
"1073",31
"1074",57
"1075",18
"1076",17
"1077",23
"1078",23
"1079",39
"1080",100
"1081",99
"1082",191
"1083",1
"1084",19
"1085",7
"1086",41
"1087",180
"1088",11
"1089",15
"1090",4
"1091",21
"1092",16
"1093",13
"1094",56
"1095",16
"1096",194
"1097",52
"1098",26
"1099",16
"1100",16
"1101",13
"1102",49
"1103",6
"1104",34
"1105",97
"1106",30
"1107",20
"1108",74
"1109",16
"1110",19
"1111",33
"1112",45
"1113",32
"1114",37
"1115",25
"1116",22
"1117",22
"1118",74
"1119",1
"1120",47
"1121",95
"1122",27
"1123",15
"1124",21
"1125",138
"1126",67
"1127",30
"1128",13
"1129",18
"1130",4
"1131",1
"1132",123
"1133",45
"1134",15
"1135",21
"1136",18
"1137",15
"1138",95
"1139",24
"1140",75
"1141",94
"1142",23
"1143",75
"1144",25
"1145",84
"1146",78
"1147",30
"1148",41
"1149",95
"1150",13
"1151",356
"1152",71
"1153",16
"1154",46
"1155",119
"1156",73
